2024-06-03 18:58:43 INFO: Namespace(epochs=5, batch_size=1, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 18:59:07 INFO: Namespace(epochs=5, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 18:59:57 INFO: Namespace(epochs=5, batch_size=16, lr=0.01, amp=False, classes=21, device='cuda')
2024-06-03 20:58:33 INFO: Namespace(epochs=5, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 20:58:53 INFO: Namespace(epochs=5, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 21:00:02 INFO: Namespace(epochs=5, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 21:01:00 INFO: Namespace(epochs=5, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 21:01:18 INFO: Namespace(epochs=5, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 21:02:10 INFO: Namespace(epochs=5, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 21:03:27 INFO: Namespace(epochs=5, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 21:40:48 INFO: Namespace(epochs=100, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-03 23:15:57 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-04 14:49:25 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-04 14:51:29 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-04 15:01:06 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-04 15:34:47 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-04 15:36:36 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-04 15:38:52 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-04 15:51:00 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-05 20:55:18 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-05 20:56:13 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-05 20:57:04 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-05 20:58:13 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
2024-06-23 15:36:04 INFO: Namespace(epochs=1000, batch_size=16, lr=1e-05, amp=False, classes=21, device='cuda')
